modality,name,size,labels,license/access,link,notes
cxr,ChestX-ray14 (NIH),"112,120 images, 30,805 patients",14 findings (NLP-mined),Public research release; consult NIH terms,https://nihcc.app.box.com/v/ChestXray-NIHCC,Report-mined labels; single US center; release documentation governs splits
cxr,CheXpert,"224,316 images; 65,240 patients","14 findings, uncertainty labels",Access request and Stanford dataset agreement,https://stanfordmlgroup.github.io/competitions/chexpert/,Single US center; report-mined training labels; expert evaluation
cxr,MIMIC-CXR,"377,110 images; 227,835 studies (v2 release)",DICOM images and free-text reports,PhysioNet credentialing; training; data-use agreement,https://physionet.org/content/mimic-cxr/,Single Boston center; JPG derivative overlaps this corpus
cxr,PadChest,"160,868 images",174 findings; 27% manually labeled,Research-use agreement; access request,https://bimcv.cipf.es/bimcv-projects/padchest/,Spanish hospital; manual and automated annotations; restricted redistribution
cxr,VinDr-CXR,"18,000 images",22 local findings with boxes; 6 global categories,PhysioNet credentialing and data-use agreement,https://physionet.org/content/vindr-cxr/1.0.0/,"Adult PA images from two Vietnamese hospitals; 15,000 train / 3,000 test"
ct,LIDC-IDRI,"1,018 CT scans",Multi-reader lung nodule annotations,TCIA collection terms,https://www.cancerimagingarchive.net/collection/lidc-idri/,Reader disagreement is part of the reference
ct,TotalSegmentator CT v2,"1,228 CT scans",117 anatomical structures,CC BY 4.0; release terms,https://zenodo.org/records/10047292,Pin label map and release; CT dataset differs from MR release
mri,fastMRI,Release-specific knee and brain collections,Raw k-space and reconstruction references,Registration and dataset agreement,https://fastmri.med.nyu.edu/,Do not combine release counts; preserve coil and acquisition metadata
mri,BraTS,Annual task-specific releases,Defined brain-tumor subregions,Challenge-specific access and terms,https://www.synapse.org/brats,Pin year/task; preprocessing and populations vary
us,EchoNet-Dynamic,"10,030 apical four-chamber videos",EF and selected ventricular tracings,Research data agreement,https://echonet.github.io/dynamic/,Selected clips; not a complete live-acquisition dataset
us,CAMUS,500 patients,Two- and four-chamber contours at defined phases,Challenge access and terms,https://www.creatis.insa-lyon.fr/Challenge/camus/,Keep all views and phases from a patient together
mammo,VinDr-Mammo v1.0.0,"5,000 four-view examinations; 20,000 images",Breast-level assessments and finding annotations,PhysioNet credentialing and data-use agreement,https://physionet.org/content/vindr-mammo/1.0.0/,Full-field digital mammography; not DBT
mammo,CBIS-DDSM,Curated mass and calcification subsets,Lesion annotations and pathology-linked labels,TCIA collection terms,https://www.cancerimagingarchive.net/collection/cbis-ddsm/,Digitized film; do not describe as modern digital acquisition
nm,FDG-PET-CT-Lesions / autoPET source,Release-specific whole-body PET/CT collection,FDG-avid lesion segmentations,TCIA collection and challenge terms,https://www.cancerimagingarchive.net/collection/fdg-pet-ct-lesions/,Pin release and split; FDG evidence does not transfer to other tracers
ophtho,EyePACS diabetic-retinopathy competition,Competition-specific train and test releases,DR severity grades,Kaggle competition and data terms,https://www.kaggle.com/c/diabetic-retinopathy-detection,Keep both eyes and repeated captures grouped; inspect quality exclusions
path,CAMELYON16 / CAMELYON17,Separate challenge releases,Lymph-node metastasis; release-specific region and case labels,Challenge release terms,https://camelyon17.grand-challenge.org/,Do not pool without checking patient grouping and overlap
video,Cholec80,80 cholecystectomy videos,Surgical phase and instrument annotations,Research access agreement,https://camma.unistra.fr/datasets/,Split by procedure; distinguish causal from offline evaluation
video,Kvasir-SEG,"1,000 polyp images",Segmentation masks,Dataset-specific terms; inspect source release,https://github.com/DebeshJha/Kvasir-SEG,Selected still images do not validate live event detection
derm,ISIC archive,Collection-specific releases,Lesion metadata and task-specific labels,Image- and collection-specific licenses,https://www.isic-archive.com/,Keep repeated lesion images together; verify patient grouping
ecg,PTB-XL v1.0.3,Versioned 12-lead ECG waveform collection,Clinical ECG statements,PhysioNet release license and attribution,https://physionet.org/content/ptb-xl/1.0.3/,Native waveforms; rendered derivatives are not naturally scanned ECGs
